hospital_id,hospital_name,email,password,role
3,Rajiv Gandhi Government General Hospital,hospital3.rajivgandhigovernmen@aes.com,OA9ASkxIx#!X,hospital
4,Stanley Medical College Hospital,hospital4.stanleymedicalcolleg@aes.com,o!HLqu$jC2Pw,hospital
5,Kilpauk Medical College Hospital,hospital5.kilpaukmedicalcolleg@aes.com,npRZ!wPu2klo,hospital
6,Coimbatore Medical College Hospital,hospital6.coimbatoremedicalcol@aes.com,eE@AopW916x9,hospital
7,PSG Hospitals,hospital7.psghospitals@aes.com,ihfT8jShKE2@,hospital
8,Government Rajaji Hospital,hospital8.governmentrajajihosp@aes.com,wsr62DV4$AyG,hospital
9,Meenakshi Mission Hospital,hospital9.meenakshimissionhosp@aes.com,hCOd8F$gzfOj,hospital
10,Mahatma Gandhi Memorial Government Hospital,hospital10.mahatmagandhimemoria@aes.com,x1cvlT#E@Iy9,hospital
11,Salem Government Hospital,hospital11.salemgovernmenthospi@aes.com,mkhD!PJ$9KL@,hospital
12,Christian Medical College,hospital12.christianmedicalcoll@aes.com,xUMd#wxWJ7D1,hospital
13,A A Hospital,hospital13.aahospital@aes.com,fr7UyT#o6vvU,hospital
14,A C Hospital,hospital14.achospital@aes.com,#MCF0hXR9gai,hospital
15,A.C. Hospital,hospital15.achospital@aes.com,PY!md8B#z2Bn,hospital
16,A.G. Eye Care Hospitals (U Nit Of Dr. A.G. Eye Hospitals Private Limited,hospital16.ageyecarehospitalsun@aes.com,l20ucpQk@HPl,hospital
17,A.G. Hospital,hospital17.aghospital@aes.com,zHvE$b7bm@T3,hospital
18,A.G. Padmavati'S Hospital Ltd.,hospital18.agpadmavatishospital@aes.com,1sm#!kLIX$jA,hospital
19,A.N.N Hospital,hospital19.annhospital@aes.com,#qFWPrzNj8hh,hospital
20,A.R.Hospital Pvt Ltd,hospital20.arhospitalpvtltd@aes.com,MBCE@0nrfn!b,hospital
21,A.V. Hospitals,hospital21.avhospitals@aes.com,qUK@#iUi@6eb,hospital
22,A.V.M. Hospital A.V.M.M. Associates (P) Ltd,hospital22.avmhospitalavmmassoc@aes.com,x1D2#vFBLL14,hospital
23,Aakash Hospital,hospital23.aakashhospital@aes.com,a3Ucx4iGS@0S,hospital
24,Aarthi Hospital,hospital24.aarthihospital@aes.com,Sm15LtN3!0eS,hospital
25,Aarthy Eye Hospital,hospital25.aarthyeyehospital@aes.com,7dyxG9axS$@!,hospital
26,Abdul Khadir Hospital,hospital26.abdulkhadirhospital@aes.com,B9UYIUaDe5@C,hospital
27,Abhijay Hospital (P) Ltd.,hospital27.abhijayhospitalpltd@aes.com,V!riHjV3995q,hospital
28,Abinand Hospital,hospital28.abinandhospital@aes.com,G5#dnIZu6h9i,hospital
29,Abiraami Hospital,hospital29.abiraamihospital@aes.com,nYaC7!2S!HM!,hospital
30,Acchutha Eye Care,hospital30.acchuthaeyecare@aes.com,@LF@M6UFZ@py,hospital
31,Adithya Speciality Hospital,hospital31.adithyaspecialityhos@aes.com,t#12v$uCDI7N,hospital
32,Aditya Hospital,hospital32.adityahospital@aes.com,qWy2@atk$Tvo,hospital
33,Adyar P.M. Hospital,hospital33.adyarpmhospital@aes.com,$4jX1RjdfTB7,hospital
34,Agash Nursing Home,hospital34.agashnursinghome@aes.com,y!0t2Dol8V#s,hospital
35,Ak Hospital,hospital35.akhospital@aes.com,6SYlMFnDoC@f,hospital
36,Akilesh Orthopaedics Hospitals,hospital36.akileshorthopaedicsh@aes.com,3f9jKgpBD0$m,hospital
37,Alva Hospital Pvt Ltd,hospital37.alvahospitalpvtltd@aes.com,@utI9CE9gJM0,hospital
38,Amaravathi Hospital,hospital38.amaravathihospital@aes.com,ScU3kIH0oy!U,hospital
39,Amma Hospital,hospital39.ammahospital@aes.com,1B3@WJ!yjS#4,hospital
40,Amma Hospital,hospital40.ammahospital@aes.com,5kYwHRf@1!r@,hospital
41,Ammayi Eye Hospital,hospital41.ammayieyehospital@aes.com,rQ9G#J0KpC5j,hospital
42,Amrit Medicare Pvt Ltd,hospital42.amritmedicarepvtltd@aes.com,$vXdSDv1xp3C,hospital
43,Amudha Poly Clinic And Hospital,hospital43.amudhapolyclinicandh@aes.com,2w0U#Gve8c2B,hospital
44,Anand Hospital,hospital44.anandhospital@aes.com,uHgiAQVW9nU!,hospital
45,Anand Hospitals,hospital45.anandhospitals@aes.com,evirC5He#n#j,hospital
46,Anbu Hospital,hospital46.anbuhospital@aes.com,D5lWG@eU4ryS,hospital
47,Anbu Hospital,hospital47.anbuhospital@aes.com,gmGAfPZRJ61@,hospital
48,Andhra Mahila Sabha,hospital48.andhramahilasabha@aes.com,3HKTf2Y$mtiR,hospital
49,Anjakha Hospital,hospital49.anjakhahospital@aes.com,54HFk!CyOf5k,hospital
50,Annai Ent And Head & Neck Care Centre,hospital50.annaientandheadneckc@aes.com,f31@395KfE#L,hospital
51,Annai Hospital,hospital51.annaihospital@aes.com,01fND3$d!e#7,hospital
52,Annai Velankanni Nursing Home,hospital52.annaivelankanninursi@aes.com,X8d6rvu#WP9C,hospital
53,Annamalai Hospital,hospital53.annamalaihospital@aes.com,5m1Cp$Z$S6yj,hospital
54,Annammal Hospital,hospital54.annammalhospital@aes.com,3kWaQlGz6f@k,hospital
55,Anu Hospital,hospital55.anuhospital@aes.com,tvcsr$pM26QC,hospital
56,Aparna Hospital,hospital56.aparnahospital@aes.com,gkjyCw7Sjf8@,hospital
57,Apollo First Med Hospitals,hospital57.apollofirstmedhospit@aes.com,sMqs#YlA5abW,hospital
58,Apollo Hospital ( T.H.Road-Chennai),hospital58.apollohospitalthroad@aes.com,36#8jcYNLj2F,hospital
59,Apollo Hospitals (Greams Road-Chennai),hospital59.apollohospitalsgream@aes.com,BdigqIf2PTR@,hospital
60,Apollo Hospitals Karaikudi,hospital60.apollohospitalskarai@aes.com,KQ#d9NmpVwUj,hospital
61,Apollo Speciality Hospital (Chennai),hospital61.apollospecialityhosp@aes.com,!oRPu7WmI$q8,hospital
62,Apollo Speciality Hospital (Madurai),hospital62.apollospecialityhosp@aes.com,$EVsBSdiXk9L,hospital
63,Appasamy Medicare Centre Pvt Ltd,hospital63.appasamymedicarecent@aes.com,$BCsWNdg5tZG,hospital
64,Appusami Hospital,hospital64.appusamihospital@aes.com,DbBW2U!6mxKC,hospital
65,Arasan Eye Hospital,hospital65.arasaneyehospital@aes.com,gIp#6Lgtvkbu,hospital
66,Aravind Eye Hospital (Salem),hospital66.aravindeyehospitalsa@aes.com,p4cXXNF!mSKe,hospital
67,Aravind Eye Hospital - Coimbatore,hospital67.aravindeyehospitalco@aes.com,vgf!@02ZCwSI,hospital
68,Aravind Eye Hospital - Pondicherry,hospital68.aravindeyehospitalpo@aes.com,#3$cS1g9gnmb,hospital
69,Aravind Eye Hospital - Theni,hospital69.aravindeyehospitalth@aes.com,knJ@5AaBkgpS,hospital
70,Aravind Eye Hospital - Tirunelveli,hospital70.aravindeyehospitalti@aes.com,!fSA74siR52d,hospital
71,Aravind Eye Hospital- Madhurai,hospital71.aravindeyehospitalma@aes.com,ip5isW#4QAVs,hospital
72,Aravind Eye Hospital-Tirupur,hospital72.aravindeyehospitalti@aes.com,WRIuw!cQu12N,hospital
73,Aravind Sai Eye Hospital,hospital73.aravindsaieyehospita@aes.com,ZNn5z!Bn7YQv,hospital
74,Ark Nursing Home,hospital74.arknursinghome@aes.com,YKPl8$jeO@xZ,hospital
75,Arokya Hospital,hospital75.arokyahospital@aes.com,#vUN9KCpv65e,hospital
76,Arthur Astrvatham Hospital,hospital76.arthurastrvathamhosp@aes.com,B1#EhU8pSngf,hospital
77,Arul Hospital,hospital77.arulhospital@aes.com,1SWBhCl!!1vJ,hospital
78,Arul Mission Hospital,hospital78.arulmissionhospital@aes.com,CZZ9pN@bL6YB,hospital
79,Arun Hospital,hospital79.arunhospital@aes.com,3P@xdbpouu@X,hospital
80,Arun Hospital (Pollachi),hospital80.arunhospitalpollachi@aes.com,JD#uN!Fx1W4o,hospital
81,Arun Hospital (Theni),hospital81.arunhospitaltheni@aes.com,$o2B$dAl5MHz,hospital
82,Arunn Surgery,hospital82.arunnsurgery@aes.com,!1p!YzZdmf6B,hospital
83,Arunpriya Nursing Home,hospital83.arunpriyanursinghome@aes.com,p22t8xUchO#M,hospital
84,Arvinth Hospital,hospital84.arvinthhospital@aes.com,YmxCUo!TzR5z,hospital
85,Ashok Hosptial,hospital85.ashokhosptial@aes.com,Wng6J#kICTjo,hospital
86,Ashveny Clinic,hospital86.ashvenyclinic@aes.com,fE4k#H8@UV8E,hospital
87,Ashwin Hospital,hospital87.ashwinhospital@aes.com,$x!p0Vl@Nbf7,hospital
88,Ashwin Hospitals,hospital88.ashwinhospitals@aes.com,nedo#67#1#Zt,hospital
89,Assured Best Care Hospital,hospital89.assuredbestcarehospi@aes.com,GfIVMmYlc2@K,hospital
90,Aswene Soundra Hospital & Research Centre,hospital90.aswenesoundrahospita@aes.com,Lna!78R@0sp!,hospital
91,Athipathi Hospital And Research Center,hospital91.athipathihospitaland@aes.com,xHVs#2lt44ve,hospital
92,Atlas Hospitals,hospital92.atlashospitals@aes.com,9jsd5!qO8g4S,hospital
93,Avm Medical Ent Research Fundation,hospital93.avmmedicalentresearc@aes.com,ft8KH$X@yONG,hospital
94,Avss Hospitals,hospital94.avsshospitals@aes.com,H1SrJPS#1JDy,hospital
95,Aysha Hospital,hospital95.ayshahospital@aes.com,6$isHSEDGx!C,hospital
96,B M Hospitals,hospital96.bmhospitals@aes.com,o2E7Mp4sM!V!,hospital
97,B.B Hospital,hospital97.bbhospital@aes.com,$9nl7ERwVL5S,hospital
98,B.G Hospital,hospital98.bghospital@aes.com,7BAMv3$imP@v,hospital
99,B.M.Orthopaedic Hospital,hospital99.bmorthopaedichospita@aes.com,Sw1k#D@Wo!Tn,hospital
100,B.M.Silver Jubilee Multi Speciality Hospital,hospital100.bmsilverjubileemulti@aes.com,Jo!r319sTNGv,hospital
101,B.P.Jain Hospital,hospital101.bpjainhospital@aes.com,J@rxq9$zUJW0,hospital
102,B.R. Hospital,hospital102.brhospital@aes.com,$$mcRZz#!Qp9,hospital
103,B.S. Hospital,hospital103.bshospital@aes.com,616@t#rSU#RO,hospital
104,B.S.S. Hospital,hospital104.bsshospital@aes.com,lSI9$xvjh#T5,hospital
105,Babus Maternity Hosptial,hospital105.babusmaternityhospti@aes.com,FFZCv3qGs5#3,hospital
106,Bagdi Nursing Home,hospital106.bagdinursinghome@aes.com,kftjtM9x6!BT,hospital
107,Balagangadhara Varma Nursing Home & Research Center,hospital107.balagangadharavarman@aes.com,Fy6VsiOCB#So,hospital
108,Balaji Hospital,hospital108.balajihospital@aes.com,MJhZDv84$uOa,hospital
109,Balaji Surya Hospital,hospital109.balajisuryahospital@aes.com,fMM$7nV#3SDh,hospital
110,Balakrishna Eye Hospital & Eye Research Centre,hospital110.balakrishnaeyehospit@aes.com,Te3!$2!DrR!F,hospital
111,Bappu Clinic & Nursing Home,hospital111.bappuclinicnursingho@aes.com,6TwoFRD5@DCH,hospital
112,Be Well Hospitals Pvt Ltd,hospital112.bewellhospitalspvtlt@aes.com,tdM1z2@mKJo8,hospital
113,Bejan Singh Eye Hospital Pvt Ltd,hospital113.bejansingheyehospita@aes.com,tQktF1$7@Ed4,hospital
114,Bethel Hospital (P) Ltd,hospital114.bethelhospitalpltd@aes.com,K@0E!NlELKvu,hospital
115,Bgm Hospital,hospital115.bgmhospital@aes.com,5ANr#Y48KN#P,hospital
116,Bhagwan Mahaveer Eye Hospital,hospital116.bhagwanmahaveereyeho@aes.com,b6Qdl!1AS1Da,hospital
117,Bharani Paventhan Multi Speciality Hospital,hospital117.bharanipaventhanmult@aes.com,La#8Z5eKBDzY,hospital
118,Bharath Hospital,hospital118.bharathhospital@aes.com,!X13INY4ljYk,hospital
119,Bharathi Hospital,hospital119.bharathihospital@aes.com,E@uI8bxT$Su1,hospital
